description,date,category_title,amount,note
2S-5766,March 14 2025,ဝင်ငွေ,50000
1D-6379,March 14 2025,ဝင်ငွေ,20000
အဖေများနေ့ မုန့်ဝယ်,March 13 2025,သုံးငွေ,34000,CityMart သမိုင်း
Max SML,March 12 2025,ဆီဖိုး,63207
Daily,March 12 2025,လုပ်သားခ,15000
7E-7647,March 12 2025,ဝင်ငွေ,15000
Daily,March 11 2025,လုပ်သားခ,15000
4N-8736,March 11 2025,ပစ္စည်းဝယ်,101000
4N8736,March 11 2025,ဝင်ငွေ,230000
9 10 daily,March 11 2025,လုပ်သားခ,30000
DENKO spt,March 10 2025,ဆီဖိုး,50000
2R-2015,March 10 2025,Untitled,196300
2R-2015,March 10 2025,ဝင်ငွေ,360200
MaxSML,March 9 2025,ဆီဖိုး,20000
9R-4210,March 8 2025,ပစ္စည်းဝယ်,110000
9R-4210,March 8 2025,ဝင်ငွေ,500000
Daily,March 7 2025,လုပ်သားခ,15000
2P-8252,March 7 2025,ဝင်ငွေ,15000
Daily,March 6 2025,လုပ်သားခ,15000
9L-2567,March 6 2025,ဝင်ငွေ,15000
Daily,March 5 2025,လုပ်သားခ,15000
Daily,March 4 2025,လုပ်သားခ,15000
Crane truck,March 4 2025,ဝင်ငွေ,450000
3H-8862,March 4 2025,ဝင်ငွေ,20000
1 ,3 daily 2,March 3 2025,လုပ်သားခ,30000
2ရက်စာ,March 2 2025,လုပ်သားခ,30000
Honda ACTY,February 28 2025,ပစ္စည်းဝယ်,727500,engine rebuild
26 27 28 daily 3,February 28 2025,လုပ်သားခ,45000
3H-8862,February 26 2025,ဝင်ငွေ,87000
Daily,February 25 2025,လုပ်သားခ,15000
8G-3996,February 25 2025,ဝင်ငွေ,80000
5M-1852,February 25 2025,ဝင်ငွေ,8000
Daily,February 24 2025,လုပ်သားခ,15000
1G-6709,February 24 2025,ပစ္စည်းဝယ်,188000
1G-6709,February 24 2025,ဝင်ငွေ,300000
9K-9702,February 24 2025,ပစ္စည်းဝယ်,441000
9K-9702,February 24 2025,ဝင်ငွေ,650000
Daily,February 23 2025,လုပ်သားခ,15000
FF-9005,February 23 2025,ဝင်ငွေ,35000
19202122 daily4,February 22 2025,လုပ်သားခ,60000
92 (SML max),February 20 2025,ဆီဖိုး,50000
4D-3760,February 19 2025,ဝင်ငွေ,10000
Daly,February 18 2025,လုပ်သားခ,15000
2L-8350,February 18 2025,ဝင်ငွေ,5000
92 ( spt den Ko ),February 18 2025,ဆီဖိုး,20000
11 13 14 15 16 17 daily6,February 17 2025,လုပ်သားခ,90000
6P-6321,February 11 2025,ပစ္စည်းဝယ်,137000
6P-6321,February 11 2025,ဝင်ငွေ,180000
8 9 10 daily,February 10 2025,လုပ်သားခ,45000
6R-5265,February 8 2025,ဝင်ငွေ,50000
3S-1825,February 8 2025,ဝင်ငွေ,25000
Daily,February 7 2025,လုပ်သားခ,15000
Daily,February 6 2025,လုပ်သားခ,15000
Ko YE Thway,February 6 2025,ပစ္စည်းဝယ်,314000
Ko YE Thway,February 6 2025,ဝင်ငွေ,530000
1H-1097,February 5 2025,ဝင်ငွေ,10000
4 5 daily,February 5 2025,လုပ်သားခ,30000
Daily,February 3 2025,လုပ်သားခ,15000
1F-4191,February 3 2025,ပစ္စည်းဝယ်,199000
1F-4191,February 3 2025,ဝင်ငွေ,1700000,KIA Optima Engine Rebuild
Daily,February 1 2025,လုပ်သားခ,15000
Bo Kyaw Nissan murano,February 1 2025,ဝင်ငွေ,18000
1D-6379,February 1 2025,ပစ္စည်းဝယ်,236500
1D-6379,February 1 2025,ဝင်ငွေ,286500
28 29 30 31 daily,January 31 2025,လုပ်သားခ,60000
6I-6506,January 28 2025,ဝင်ငွေ,5000
Daily,January 27 2025,လုပ်သားခ,15000
Daily,January 25 2025,လုပ်သားခ,15000
5M-1852,January 25 2025,ပစ္စည်းဝယ်,174500
5M-1852,January 25 2025,ဝင်ငွေ,219500
4R-2718,January 25 2025,ဝင်ငွေ,10000
4p10 company VANGUARD,January 25 2025,ပစ္စည်းဝယ်,853000
4p10company VANGUARD,January 25 2025,ဝင်ငွေ,1450000
Daily,January 24 2025,လုပ်သားခ,15000
Daily,January 23 2025,လုပ်သားခ,15000
2L-8350,January 23 2025,ပစ္စည်းဝယ်,103500
2L-8350,January 23 2025,ဝင်ငွေ,131500
Daily,January 22 2025,လုပ်သားခ,15000
7C-4391,January 22 2025,ပစ္စည်းဝယ်,131000
7C-4391,January 22 2025,ဝင်ငွေ,204000
6P-6321,January 22 2025,ပစ္စည်းဝယ်,3,245000
6P-6321,January 22 2025,ဝင်ငွေ,5,400000,Chinese company bongo3 engine rebuild( warranty 3months)
17 18 20 21 daily,January 21 2025,လုပ်သားခ,60000
Daily,January 16 2025,လုပ်သားခ,15000
3R-7412,January 16 2025,ဝင်ငွေ,25000
Daiiy,January 15 2025,လုပ်သားခ,15000
7L-6290,January 15 2025,ပစ္စည်းဝယ်,239000
7L-6290,January 15 2025,ဝင်ငွေ,370000
Daily,January 14 2025,လုပ်သားခ,15000
10 11 12 13.  Daily,January 13 2025,လုပ်သားခ,60000
1L-6976,January 13 2025,ဝင်ငွေ,15000
2P-8959,January 13 2025,ဝင်ငွေ,15000
7J-5429,January 12 2025,ဝင်ငွေ,358000
၂ရက်စာ,January 11 2025,ဝင်ငွေ,30000
Chevrolet spark,January 10 2025,ဝင်ငွေ,25000,ဆီတိုင်ကီဆေး
၂ရက်စာ,January 9 2025,လုပ်သားခ,30000
5ရက်နေ့မှ ၇ရက်နေ့အထိ daily 3ရက်,January 5 2025,လုပ်သားခ,45000
FF 9005,January 3 2025,ဝင်ငွေ,13000
7H 9880,January 3 2025,ပစ္စည်းဝယ်,305000
7H 9880,January 3 2025,ဝင်ငွေ,445000
အငယ်ကောင်,January 2 2025,လုပ်သားခ,15000
1G 6709,January 2 2025,ဝင်ငွေ,13000
အငယ်ကောင်,January 1 2025,လုပ်သားခ,15000
၁၂ လပိုင်း အငယ်ကောင် bonus,January 1 2025,လုပ်သားခ,40000
၁၂ လပိုင်း ဖက်တီး လစာ+ bonus,January 1 2025,လုပ်သားခ,180000
၁၂ လပိုင်း ကျော်နိုင် လစာ+ bonus,January 1 2025,လုပ်သားခ,750000
အပ်ငွေ,January 1 2025,မိန်းမအပ်ငွေ,1200000
မဟာဝိဟာရ Supercustom,January 1 2025,ပစ္စည်းဝယ်,3584000
မဟာဝိဟာရ  Super custom,January 1 2025,ဝင်ငွေ,4020000
အငယ်ကောင်,December 31 2024,လုပ်သားခ,15000
မဟာဝိဟာရ 7J 5429,December 31 2024,ဝင်ငွေ,20000
UMH 9M, 7I&2R,December 30 2024,ဝင်ငွေ,265000
27 မှ 29 အထိ daily,December 27 2024,လုပ်သားခ,45000,3ရက်စာ ပေါင်း
အငယ်ကောင်,December 26 2024,လုပ်သားခ,15000
ဦးကျော်ဝင်း dyna,December 26 2024,ဝင်ငွေ,390000
အငယ်ကောင်,December 25 2024,လုပ်သားခ,15000
အငယ်ျကာင်,December 24 2024,လုပ်သားခ,15000
ထက်လင်းမြင့် insight,December 24 2024,ပစ္စည်းဝယ်,628000
ထက်လင်းမြင့် Insight,December 24 2024,ဝင်ငွေ,800000
